iter	Logloss
0	0.4972432251
1	0.4213837585
2	0.4022430115
3	0.3888726349
4	0.3820041046
5	0.3769250336
6	0.3743719025
7	0.3729700623
8	0.3709233093
9	0.369031311
10	0.3680745544
11	0.3671559448
12	0.3664757233
13	0.3637804413
14	0.3631868591
15	0.3623788452
16	0.3617788239
17	0.3613358612
18	0.3606804962
19	0.360021759
20	0.3595954285
21	0.3590726776
22	0.3585186768
23	0.3578596802
24	0.3574584961
25	0.3565539398
26	0.3559057159
27	0.3549154816
28	0.3542457733
29	0.3534201965
30	0.3529915771
31	0.3523579254
32	0.3516704559
33	0.3509356079
34	0.3505296478
35	0.3500334778
36	0.3489470825
37	0.3483782501
38	0.347757309
39	0.3472221375
40	0.3467243195
41	0.3465311584
42	0.3461443939
43	0.3460045013
44	0.345620636
45	0.3455001526
46	0.3449466095
47	0.3440719299
48	0.3436380005
49	0.3432684479
50	0.3428649597
51	0.342240509
52	0.3418095856
53	0.3412507782
54	0.3411613159
55	0.3406079712
56	0.3400327759
57	0.3395638123
58	0.3390638733
59	0.3387659149
60	0.3382826996
61	0.3378014221
62	0.3373156281
63	0.3367309723
64	0.3364887695
65	0.3364164886
66	0.3359779053
67	0.3358531494
68	0.3354282684
69	0.3349983368
70	0.3345960388
71	0.3338916779
72	0.3334180298
73	0.3328128967
74	0.3324152069
75	0.3317795105
76	0.331508667
77	0.3309045563
78	0.3304630432
79	0.3299499969
80	0.3295613861
81	0.3294901733
82	0.3291580505
83	0.3287235107
84	0.3281985626
85	0.3277226868
86	0.3271700439
87	0.3267957153
88	0.3263991394
89	0.3259223633
90	0.3255352631
91	0.3254814301
92	0.3252720337
93	0.3250755463
94	0.3244829407
95	0.3242719727
96	0.3242119904
97	0.3240879364
98	0.3240398865
99	0.3236059875
