iter	Passed	Remaining
0	32	3266
1	62	3070
2	97	3150
3	138	3319
4	169	3215
5	208	3273
6	245	3257
7	278	3200
8	328	3316
9	367	3311
10	404	3269
11	445	3267
12	475	3180
13	510	3135
14	542	3072
15	603	3166
16	645	3149
17	680	3098
18	712	3039
19	747	2988
20	807	3038
21	846	3001
22	863	2892
23	883	2799
24	907	2723
25	960	2734
26	1059	2863
27	1144	2943
28	1264	3096
29	1352	3156
30	1441	3209
31	1516	3221
32	1586	3221
33	1680	3261
34	1767	3283
35	1846	3282
36	1911	3255
37	1981	3233
38	2051	3208
39	2116	3175
40	2185	3145
41	2260	3122
42	2334	3094
43	2412	3070
44	2497	3052
45	2563	3008
46	2630	2966
47	2687	2911
48	2758	2871
49	2872	2872
50	2971	2854
51	3099	2861
52	3187	2826
53	3271	2787
54	3299	2699
55	3316	2606
56	3341	2520
57	3358	2432
58	3375	2345
59	3414	2276
60	3462	2214
61	3486	2137
62	3511	2062
63	3528	1984
64	3546	1909
65	3579	1844
66	3596	1771
67	3614	1700
68	3663	1645
69	3687	1580
70	3704	1513
71	3723	1447
72	3746	1385
73	3764	1322
74	3807	1269
75	3825	1208
76	3841	1147
77	3872	1092
78	3907	1038
79	3938	984
80	3955	927
81	3972	872
82	3999	819
83	4025	766
84	4069	718
85	4114	669
86	4148	619
87	4189	571
88	4227	522
89	4266	474
90	4294	424
91	4310	374
92	4337	326
93	4364	278
94	4411	232
95	4439	184
96	4456	137
97	4479	91
98	4495	45
99	4525	0
