iter	Passed	Remaining
0	170	170564
1	386	193006
2	632	210253
3	930	231768
4	1107	220457
5	1332	220826
6	1484	210599
7	1710	212125
8	1868	205741
9	2055	203455
10	2360	212271
11	2603	214335
12	2763	209815
13	2978	209748
14	3165	207847
15	3384	208133
16	3657	211460
17	3916	213655
18	4137	213647
19	4272	209368
20	4436	206833
21	4547	202144
22	4689	199198
23	4779	194347
24	4907	191391
25	5076	190171
26	5235	188665
27	5371	186455
28	5535	185355
29	5654	182813
30	5790	180992
31	5947	179897
32	6125	179485
33	6258	177814
34	6424	177125
35	6703	179493
36	6983	181753
37	7081	179266
38	7208	177627
39	7304	175311
40	7456	174398
41	7610	173599
42	7738	172223
43	7885	171332
44	8079	171461
45	8224	170561
46	8397	170267
47	8503	168659
48	8657	168028
49	8772	166686
50	8886	165352
51	9039	164802
52	9190	164214
53	9335	163538
54	9457	162491
55	9556	161096
56	9739	161125
57	9933	161326
58	10158	162024
59	10336	161933
60	10571	162724
61	10742	162516
62	10877	161784
63	11010	161030
64	11164	160599
65	11294	159836
66	11474	159791
67	11605	159069
68	11803	159258
69	11898	158085
70	12014	157203
71	12170	156866
72	12341	156723
73	12433	155591
74	12586	155227
75	12742	154925
76	12897	154597
77	13038	154120
78	13392	156131
79	13721	157793
80	13989	158719
81	14183	158788
82	14388	158964
83	14498	158100
84	14578	156928
85	14719	156437
86	14855	155899
87	14981	155260
88	15122	154790
89	15267	154376
90	15413	153963
91	15530	153283
92	15784	153944
93	15933	153575
94	16129	153656
95	16274	153255
96	16426	152922
97	16554	152372
98	16656	151590
99	16806	151254
100	17042	151693
101	17177	151227
102	17310	150749
103	17470	150515
104	17617	150167
105	17749	149695
106	17904	149424
107	18013	148775
108	18129	148197
109	18267	147800
110	18457	147823
111	18617	147608
112	18853	147990
113	19006	147720
114	19170	147533
115	19333	147333
116	19593	147872
117	19691	147182
118	19823	146764
119	19976	146493
120	20127	146212
121	20232	145604
122	20347	145077
123	20492	144767
124	20645	144516
125	20785	144178
126	20915	143773
127	21083	143633
128	21244	143438
129	21428	143404
130	21551	142961
131	21707	142741
132	21921	142900
133	22001	142186
134	22108	141659
135	22225	141195
136	22353	140813
137	22481	140429
138	22673	140443
